equipment_id,name,equipment_category,source_ids
BODYWEIGHT,Bodyweight,,SRC_ACE_LIBRARY;SRC_CURATED_V1
BARBELL,Barbell,,SRC_ACE_LIBRARY;SRC_CURATED_V1
DUMBBELL,Dumbbell,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ADJUSTABLE_DUMBBELL,Adjustable Dumbbell,,SRC_ACE_LIBRARY;SRC_CURATED_V1
KETTLEBELL,Kettlebell,,SRC_ACE_LIBRARY;SRC_CURATED_V1
EZ_CURL_BAR,EZ Curl Bar,,SRC_ACE_LIBRARY;SRC_CURATED_V1
TRAP_BAR,Trap Bar,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SAFETY_SQUAT_BAR,Safety Squat Bar,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SWISS_BAR_FOOTBALL_BAR,Swiss Bar / Football Bar,,SRC_ACE_LIBRARY;SRC_CURATED_V1
CABLE_STATION,Cable Station,,SRC_ACE_LIBRARY;SRC_CURATED_V1
FUNCTIONAL_TRAINER,Functional Trainer,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SMITH_MACHINE,Smith Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SELECTORIZED_MACHINE,Selectorized Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
PLATE_LOADED_MACHINE,Plate-Loaded Machine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
BENCH,Bench,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ADJUSTABLE_BENCH,Adjustable Bench,,SRC_ACE_LIBRARY;SRC_CURATED_V1
POWER_RACK,Power Rack,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SQUAT_RACK,Squat Rack,,SRC_ACE_LIBRARY;SRC_CURATED_V1
PULL_UP_BAR,Pull-Up Bar,,SRC_ACE_LIBRARY;SRC_CURATED_V1
DIP_BARS,Dip Bars,,SRC_ACE_LIBRARY;SRC_CURATED_V1
RESISTANCE_BAND,Resistance Band,,SRC_ACE_LIBRARY;SRC_CURATED_V1
MINI_BAND,Mini Band,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SUSPENSION_TRAINER,Suspension Trainer,,SRC_ACE_LIBRARY;SRC_CURATED_V1
LANDMINE,Landmine,,SRC_ACE_LIBRARY;SRC_CURATED_V1
WEIGHT_PLATES,Weight Plates,,SRC_ACE_LIBRARY;SRC_CURATED_V1
MEDICINE_BALL,Medicine Ball,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SLAM_BALL,Slam Ball,,SRC_ACE_LIBRARY;SRC_CURATED_V1
STABILITY_BALL,Stability Ball,,SRC_ACE_LIBRARY;SRC_CURATED_V1
BOSU_BALANCE_TRAINER,BOSU / Balance Trainer,,SRC_ACE_LIBRARY;SRC_CURATED_V1
AB_WHEEL,Ab Wheel,,SRC_ACE_LIBRARY;SRC_CURATED_V1
FOAM_ROLLER,Foam Roller,,SRC_ACE_LIBRARY;SRC_CURATED_V1
MASSAGE_BALL,Massage Ball,,SRC_ACE_LIBRARY;SRC_CURATED_V1
STEP_BOX,Step / Box,,SRC_ACE_LIBRARY;SRC_CURATED_V1
PLYO_BOX,Plyo Box,,SRC_ACE_LIBRARY;SRC_CURATED_V1
SLED,Sled,,SRC_ACE_LIBRARY;SRC_CURATED_V1
BATTLE_ROPE,Battle Rope,,SRC_ACE_LIBRARY;SRC_CURATED_V1
JUMP_ROPE,Jump Rope,,SRC_ACE_LIBRARY;SRC_CURATED_V1
TREADMILL,Treadmill,,SRC_ACE_LIBRARY;SRC_CURATED_V1
STATIONARY_BIKE,Stationary Bike,,SRC_ACE_LIBRARY;SRC_CURATED_V1
