exercise_id,muscle_id,role,source_ids
BARBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
BARBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
BARBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
PAUSED_BARBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
PAUSED_BARBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
PAUSED_BARBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
CLOSE_GRIP_BARBELL_BENCH_PRESS,TRICEPS,PRIMARY,SRC_CURATED_V1
CLOSE_GRIP_BARBELL_BENCH_PRESS,CHEST,SECONDARY,SRC_CURATED_V1
CLOSE_GRIP_BARBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
WIDE_GRIP_BARBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
WIDE_GRIP_BARBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
WIDE_GRIP_BARBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
INCLINE_BARBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
INCLINE_BARBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
INCLINE_BARBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
DECLINE_BARBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
DECLINE_BARBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
DECLINE_BARBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
ALTERNATING_DUMBBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
ALTERNATING_DUMBBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
ALTERNATING_DUMBBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
ALTERNATING_DUMBBELL_BENCH_PRESS,CORE,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_DUMBBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
SINGLE_ARM_DUMBBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_DUMBBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_DUMBBELL_BENCH_PRESS,CORE,SECONDARY,SRC_CURATED_V1
INCLINE_DUMBBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
INCLINE_DUMBBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
INCLINE_DUMBBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
DECLINE_DUMBBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
DECLINE_DUMBBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
DECLINE_DUMBBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
DUMBBELL_FLOOR_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
DUMBBELL_FLOOR_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
DUMBBELL_FLOOR_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
BARBELL_FLOOR_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
BARBELL_FLOOR_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
BARBELL_FLOOR_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
SMITH_MACHINE_BENCH_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
SMITH_MACHINE_BENCH_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
SMITH_MACHINE_BENCH_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
SMITH_MACHINE_INCLINE_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
SMITH_MACHINE_INCLINE_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
SMITH_MACHINE_INCLINE_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
MACHINE_CHEST_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
MACHINE_CHEST_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
MACHINE_CHEST_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
INCLINE_CHEST_PRESS_MACHINE,CHEST,PRIMARY,SRC_CURATED_V1
INCLINE_CHEST_PRESS_MACHINE,SHOULDERS,SECONDARY,SRC_CURATED_V1
INCLINE_CHEST_PRESS_MACHINE,TRICEPS,SECONDARY,SRC_CURATED_V1
CABLE_CHEST_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
CABLE_CHEST_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
CABLE_CHEST_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
CABLE_CHEST_PRESS,CORE,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_CABLE_CHEST_PRESS,CHEST,PRIMARY,SRC_CURATED_V1
SINGLE_ARM_CABLE_CHEST_PRESS,TRICEPS,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_CABLE_CHEST_PRESS,SHOULDERS,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_CABLE_CHEST_PRESS,CORE,SECONDARY,SRC_CURATED_V1
PUSH_UP,CHEST,PRIMARY,SRC_CURATED_V1
PUSH_UP,TRICEPS,SECONDARY,SRC_CURATED_V1
PUSH_UP,SHOULDERS,SECONDARY,SRC_CURATED_V1
PUSH_UP,CORE,SECONDARY,SRC_CURATED_V1
INCLINE_PUSH_UP,CHEST,PRIMARY,SRC_CURATED_V1
INCLINE_PUSH_UP,TRICEPS,SECONDARY,SRC_CURATED_V1
INCLINE_PUSH_UP,SHOULDERS,SECONDARY,SRC_CURATED_V1
INCLINE_PUSH_UP,CORE,SECONDARY,SRC_CURATED_V1
DECLINE_PUSH_UP,CHEST,PRIMARY,SRC_CURATED_V1
DECLINE_PUSH_UP,SHOULDERS,SECONDARY,SRC_CURATED_V1
DECLINE_PUSH_UP,TRICEPS,SECONDARY,SRC_CURATED_V1
DECLINE_PUSH_UP,CORE,SECONDARY,SRC_CURATED_V1
WEIGHTED_PUSH_UP,CHEST,PRIMARY,SRC_CURATED_V1
WEIGHTED_PUSH_UP,TRICEPS,SECONDARY,SRC_CURATED_V1
WEIGHTED_PUSH_UP,SHOULDERS,SECONDARY,SRC_CURATED_V1
WEIGHTED_PUSH_UP,CORE,SECONDARY,SRC_CURATED_V1
RING_SUSPENSION_PUSH_UP,CHEST,PRIMARY,SRC_CURATED_V1
RING_SUSPENSION_PUSH_UP,TRICEPS,SECONDARY,SRC_CURATED_V1
RING_SUSPENSION_PUSH_UP,SHOULDERS,SECONDARY,SRC_CURATED_V1
RING_SUSPENSION_PUSH_UP,CORE,SECONDARY,SRC_CURATED_V1
DUMBBELL_FLY,CHEST,PRIMARY,SRC_CURATED_V1
DUMBBELL_FLY,SHOULDERS,SECONDARY,SRC_CURATED_V1
INCLINE_DUMBBELL_FLY,CHEST,PRIMARY,SRC_CURATED_V1
INCLINE_DUMBBELL_FLY,SHOULDERS,SECONDARY,SRC_CURATED_V1
CABLE_FLY,CHEST,PRIMARY,SRC_CURATED_V1
CABLE_FLY,SHOULDERS,SECONDARY,SRC_CURATED_V1
LOW_TO_HIGH_CABLE_FLY,CHEST,PRIMARY,SRC_CURATED_V1
LOW_TO_HIGH_CABLE_FLY,SHOULDERS,SECONDARY,SRC_CURATED_V1
HIGH_TO_LOW_CABLE_FLY,CHEST,PRIMARY,SRC_CURATED_V1
HIGH_TO_LOW_CABLE_FLY,SHOULDERS,SECONDARY,SRC_CURATED_V1
PEC_DECK_FLY,CHEST,PRIMARY,SRC_CURATED_V1
PEC_DECK_FLY,SHOULDERS,SECONDARY,SRC_CURATED_V1
DUMBBELL_PULLOVER,CHEST,PRIMARY,SRC_CURATED_V1
DUMBBELL_PULLOVER,BACK,SECONDARY,SRC_CURATED_V1
DUMBBELL_PULLOVER,TRICEPS,SECONDARY,SRC_CURATED_V1
PULL_UP,BACK,PRIMARY,SRC_CURATED_V1
PULL_UP,BICEPS,SECONDARY,SRC_CURATED_V1
PULL_UP,FOREARMS,SECONDARY,SRC_CURATED_V1
PULL_UP,CORE,SECONDARY,SRC_CURATED_V1
CHIN_UP,BACK,PRIMARY,SRC_CURATED_V1
CHIN_UP,BICEPS,SECONDARY,SRC_CURATED_V1
CHIN_UP,FOREARMS,SECONDARY,SRC_CURATED_V1
CHIN_UP,CORE,SECONDARY,SRC_CURATED_V1
NEUTRAL_GRIP_PULL_UP,BACK,PRIMARY,SRC_CURATED_V1
NEUTRAL_GRIP_PULL_UP,BICEPS,SECONDARY,SRC_CURATED_V1
NEUTRAL_GRIP_PULL_UP,FOREARMS,SECONDARY,SRC_CURATED_V1
WIDE_GRIP_PULL_UP,BACK,PRIMARY,SRC_CURATED_V1
WIDE_GRIP_PULL_UP,BICEPS,SECONDARY,SRC_CURATED_V1
WIDE_GRIP_PULL_UP,FOREARMS,SECONDARY,SRC_CURATED_V1
WEIGHTED_PULL_UP,BACK,PRIMARY,SRC_CURATED_V1
WEIGHTED_PULL_UP,BICEPS,SECONDARY,SRC_CURATED_V1
WEIGHTED_PULL_UP,FOREARMS,SECONDARY,SRC_CURATED_V1
WEIGHTED_PULL_UP,CORE,SECONDARY,SRC_CURATED_V1
ASSISTED_PULL_UP,BACK,PRIMARY,SRC_CURATED_V1
ASSISTED_PULL_UP,BICEPS,SECONDARY,SRC_CURATED_V1
ASSISTED_PULL_UP,FOREARMS,SECONDARY,SRC_CURATED_V1
LAT_PULLDOWN,BACK,PRIMARY,SRC_CURATED_V1
LAT_PULLDOWN,BICEPS,SECONDARY,SRC_CURATED_V1
LAT_PULLDOWN,FOREARMS,SECONDARY,SRC_CURATED_V1
CLOSE_GRIP_LAT_PULLDOWN,BACK,PRIMARY,SRC_CURATED_V1
CLOSE_GRIP_LAT_PULLDOWN,BICEPS,SECONDARY,SRC_CURATED_V1
CLOSE_GRIP_LAT_PULLDOWN,FOREARMS,SECONDARY,SRC_CURATED_V1
NEUTRAL_GRIP_LAT_PULLDOWN,BACK,PRIMARY,SRC_CURATED_V1
NEUTRAL_GRIP_LAT_PULLDOWN,BICEPS,SECONDARY,SRC_CURATED_V1
NEUTRAL_GRIP_LAT_PULLDOWN,FOREARMS,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_LAT_PULLDOWN,BACK,PRIMARY,SRC_CURATED_V1
SINGLE_ARM_LAT_PULLDOWN,BICEPS,SECONDARY,SRC_CURATED_V1
SINGLE_ARM_LAT_PULLDOWN,CORE,SECONDARY,SRC_CURATED_V1
STRAIGHT_ARM_PULLDOWN,BACK,PRIMARY,SRC_CURATED_V1
