exercise_id,canonical_name,exercise_family,variant_of,exercise_class,training_category_id,body_region,primary_muscle_group,movement_pattern_id,movement_plane,mechanic,force,laterality,position,tracking_mode_id,difficulty,skill_demand_1_5,stability_demand_1_5,fatigue_cost_1_5,loading_potential_1_5,hypertrophy_suitability_1_5,strength_suitability_1_5,power_suitability_1_5,endurance_suitability_1_5,cardio_suitability_1_5,beginner_allowed,ai_selection_allowed,ai_substitution_allowed,advanced_only,safety_flag,medical_review_required,verification_status,confidence_score,source_ids,notes
BARBELL_BENCH_PRESS,Barbell Bench Press,Bench Press,BENCH_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Intermediate,3,3,4,5,4,4,1,3,1,0,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
PAUSED_BARBELL_BENCH_PRESS,Paused Barbell Bench Press,Bench Press,BENCH_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Advanced,5,3,4,5,4,4,1,3,1,0,1,1,1,TECHNIQUE_SENSITIVE,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.72,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
CLOSE_GRIP_BARBELL_BENCH_PRESS,Close-Grip Barbell Bench Press,Bench Press,BENCH_PRESS,Resistance,RESISTANCE,Upper Body,Triceps,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Intermediate,3,3,4,5,4,4,1,3,1,0,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
WIDE_GRIP_BARBELL_BENCH_PRESS,Wide-Grip Barbell Bench Press,Bench Press,BENCH_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Intermediate,3,3,4,5,4,4,1,3,1,0,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
INCLINE_BARBELL_BENCH_PRESS,Incline Barbell Bench Press,Incline Press,INCLINE_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Intermediate,3,3,4,5,4,4,1,3,1,0,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
DECLINE_BARBELL_BENCH_PRESS,Decline Barbell Bench Press,Decline Press,DECLINE_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Intermediate,3,3,4,5,4,4,1,3,1,0,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
DUMBBELL_BENCH_PRESS,Dumbbell Bench Press,Bench Press,BENCH_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Beginner,1,3,4,4,4,4,1,3,1,1,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
ALTERNATING_DUMBBELL_BENCH_PRESS,Alternating Dumbbell Bench Press,Bench Press,BENCH_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Alternating,Supine,WEIGHT_REPS,Intermediate,3,3,4,4,4,4,1,3,1,0,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
SINGLE_ARM_DUMBBELL_BENCH_PRESS,Single-Arm Dumbbell Bench Press,Bench Press,BENCH_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Unilateral,Supine,WEIGHT_REPS,Intermediate,3,3,4,4,4,4,1,3,1,0,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
INCLINE_DUMBBELL_BENCH_PRESS,Incline Dumbbell Bench Press,Incline Press,INCLINE_PRESS,Resistance,RESISTANCE,Upper Body,Chest,HORIZONTAL_PUSH,Transverse,Compound,Push,Bilateral,Supine,WEIGHT_REPS,Beginner,1,3,4,4,4,4,1,3,1,1,1,1,0,STANDARD,0,CURATED_SEED_NEEDS_DOMAIN_REVIEW,0.8,SRC_CURATED_V1;SRC_ACE_LIBRARY;SRC_FREE_EX_DB,"Scores are heuristic ranking metadata for software/AI, not medical or clinical guidance."
