progression_method_id,name,applies_to,source_ids
LOAD_PROGRESSION,Load Progression,resistance_or_conditioning,SRC_WGER;SRC_CURATED_V1
REP_PROGRESSION,Rep Progression,resistance_or_conditioning,SRC_WGER;SRC_CURATED_V1
SET_PROGRESSION,Set Progression,resistance_or_conditioning,SRC_WGER;SRC_CURATED_V1
VOLUME_PROGRESSION,Volume Progression,resistance_or_conditioning,SRC_CURATED_V1
DENSITY_PROGRESSION,Density Progression,resistance_or_conditioning,SRC_CURATED_V1
TIME_PROGRESSION,Time Progression,resistance_or_conditioning,SRC_CURATED_V1
DISTANCE_PROGRESSION,Distance Progression,resistance_or_conditioning,SRC_CURATED_V1
DIFFICULTY_PROGRESSION,Difficulty Progression,resistance_or_conditioning,SRC_CURATED_V1
RANGE_OF_MOTION_PROGRESSION,Range-of-Motion Progression,resistance_or_conditioning,SRC_CURATED_V1
TEMPO_PROGRESSION,Tempo Progression,resistance_or_conditioning,SRC_CURATED_V1
LINEAR_PROGRESSION,Linear Progression,resistance_or_conditioning,SRC_CURATED_V1
DOUBLE_PROGRESSION,Double Progression,resistance_or_conditioning,SRC_CURATED_V1
DYNAMIC_DOUBLE_PROGRESSION,Dynamic Double Progression,resistance_or_conditioning,SRC_CURATED_V1
REP_GOAL_PROGRESSION,Rep-Goal Progression,resistance_or_conditioning,SRC_CURATED_V1
PERCENTAGE_PROGRESSION,Percentage Progression,resistance_or_conditioning,SRC_WGER;SRC_CURATED_V1
RPE_PROGRESSION,RPE Progression,resistance_or_conditioning,SRC_CURATED_V1
RIR_PROGRESSION,RIR Progression,resistance_or_conditioning,SRC_WGER;SRC_CURATED_V1
AUTOREGULATED_PROGRESSION,Autoregulated Progression,resistance_or_conditioning,SRC_CURATED_V1
WAVE_PROGRESSION,Wave Progression,resistance_or_conditioning,SRC_CURATED_V1
STEP_PROGRESSION,Step Progression,resistance_or_conditioning,SRC_CURATED_V1
TOP_SET_PROGRESSION,Top-Set Progression,resistance_or_conditioning,SRC_CURATED_V1
BACK_OFF_VOLUME_PROGRESSION,Back-Off Volume Progression,resistance_or_conditioning,SRC_CURATED_V1
VELOCITY_GUIDED_PROGRESSION,Velocity-Guided Progression,resistance_or_conditioning,SRC_CURATED_V1
ASSISTANCE_REDUCTION_PROGRESSION,Assistance Reduction Progression,resistance_or_conditioning,SRC_CURATED_V1
BODYWEIGHT_TO_WEIGHTED_PROGRESSION,Bodyweight-to-Weighted Progression,resistance_or_conditioning,SRC_CURATED_V1
INTERVAL_DURATION_PROGRESSION,Interval-Duration Progression,resistance_or_conditioning,SRC_CURATED_V1
WORK_REST_PROGRESSION,Work-Rest Progression,resistance_or_conditioning,SRC_CURATED_V1
