tracking_mode_id,name,primary_units,source_ids
WEIGHT_REPS,Weight + Repetitions,kg/lb and reps,SRC_CURATED_V1
REPS_ONLY,Repetitions Only,reps,SRC_CURATED_V1
BODYWEIGHT_REPS,Bodyweight + Repetitions,bodyweight and reps,SRC_CURATED_V1
WEIGHTED_BODYWEIGHT_REPS,Added Weight + Bodyweight + Repetitions,load and reps,SRC_CURATED_V1
ASSISTED_REPS,Assistance + Repetitions,assistance and reps,SRC_CURATED_V1
DURATION,Duration,seconds/minutes,SRC_CURATED_V1
DISTANCE,Distance,m/km/mi,SRC_CURATED_V1
DISTANCE_TIME,Distance + Time,distance and duration,SRC_CURATED_V1
PACE_DISTANCE_TIME,Pace + Distance + Time,"pace, distance, duration",SRC_CURATED_V1
LOAD_DISTANCE,Load + Distance,load and distance,SRC_CURATED_V1
LOAD_DURATION,Load + Duration,load and duration,SRC_CURATED_V1
CALORIES_TIME,Calories + Time,calories and duration,SRC_CURATED_V1
ROUNDS_REPS,Rounds + Repetitions,rounds and reps,SRC_CURATED_V1
HEIGHT_REPS,Height + Repetitions,height and reps,SRC_CURATED_V1
JUMPS_CONTACTS,Jump Contacts,contacts/reps,SRC_CURATED_V1
SCORE,Test / Assessment Score,score,SRC_CURATED_V1
