exercise_id,alias,alias_type,source_ids
BARBELL_BENCH_PRESS,Bench Press,COMMON,SRC_CURATED_V1
BARBELL_BENCH_PRESS,Flat Bench Press,COMMON,SRC_CURATED_V1
BARBELL_BENCH_PRESS,BB Bench,COMMON,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,DB Bench,COMMON,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,Dumbbell Chest Press,COMMON,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,Flat DB Press,COMMON,SRC_CURATED_V1
BACK_SQUAT,Squat,COMMON,SRC_CURATED_V1
BACK_SQUAT,Barbell Squat,COMMON,SRC_CURATED_V1
PULL_UP,Pullup,COMMON,SRC_CURATED_V1
PULL_UP,Pull Up,COMMON,SRC_CURATED_V1
CHIN_UP,Chinup,COMMON,SRC_CURATED_V1
CHIN_UP,Chin Up,COMMON,SRC_CURATED_V1
LAT_PULLDOWN,Lat Pull-Down,COMMON,SRC_CURATED_V1
SEATED_CABLE_ROW,Cable Row,COMMON,SRC_CURATED_V1
CONVENTIONAL_DEADLIFT,Barbell Deadlift,COMMON,SRC_CURATED_V1
CONVENTIONAL_DEADLIFT,Deadlift,COMMON,SRC_CURATED_V1
TRAP_BAR_DEADLIFT,Hex Bar Deadlift,COMMON,SRC_CURATED_V1
ROMANIAN_DEADLIFT,RDL,COMMON,SRC_CURATED_V1
ROMANIAN_DEADLIFT,Barbell RDL,COMMON,SRC_CURATED_V1
DUMBBELL_ROMANIAN_DEADLIFT,DB RDL,COMMON,SRC_CURATED_V1
DUMBBELL_ROMANIAN_DEADLIFT,Dumbbell RDL,COMMON,SRC_CURATED_V1
STANDING_BARBELL_OVERHEAD_PRESS,OHP,COMMON,SRC_CURATED_V1
STANDING_BARBELL_OVERHEAD_PRESS,Military Press,COMMON,SRC_CURATED_V1
STANDING_BARBELL_OVERHEAD_PRESS,Standing Press,COMMON,SRC_CURATED_V1
DUMBBELL_SHOULDER_PRESS,DB Shoulder Press,COMMON,SRC_CURATED_V1
DUMBBELL_LATERAL_RAISE,DB Lateral Raise,COMMON,SRC_CURATED_V1
DUMBBELL_LATERAL_RAISE,Side Raise,COMMON,SRC_CURATED_V1
BARBELL_CURL,Standing Barbell Curl,COMMON,SRC_CURATED_V1
HAMMER_CURL,Dumbbell Hammer Curl,COMMON,SRC_CURATED_V1
CABLE_TRICEPS_PUSHDOWN,Triceps Pushdown,COMMON,SRC_CURATED_V1
ROPE_TRICEPS_PUSHDOWN,Rope Pushdown,COMMON,SRC_CURATED_V1
BACK_SQUAT,Barbell Back Squat,COMMON,SRC_CURATED_V1
FRONT_SQUAT,Barbell Front Squat,COMMON,SRC_CURATED_V1
BULGARIAN_SPLIT_SQUAT,BSS,COMMON,SRC_CURATED_V1
BULGARIAN_SPLIT_SQUAT,Rear-Foot-Elevated Split Squat,COMMON,SRC_CURATED_V1
BARBELL_HIP_THRUST,Hip Thrust,COMMON,SRC_CURATED_V1
PALLOF_PRESS,Anti-Rotation Press,COMMON,SRC_CURATED_V1
FARMER_S_CARRY,Farmer Walk,COMMON,SRC_CURATED_V1
FARMER_S_CARRY,Farmers Carry,COMMON,SRC_CURATED_V1
STATIONARY_CYCLING,Exercise Bike,COMMON,SRC_CURATED_V1
STATIONARY_CYCLING,Stationary Bike,COMMON,SRC_CURATED_V1
AIR_BIKE,Fan Bike,COMMON,SRC_CURATED_V1
AIR_BIKE,Assault Bike,COMMON,SRC_CURATED_V1
ROWING_ERGOMETER,Rower,COMMON,SRC_CURATED_V1
ROWING_ERGOMETER,Indoor Rowing,COMMON,SRC_CURATED_V1
