exercise_id,equipment_id,requirement,source_ids
BARBELL_BENCH_PRESS,BARBELL,REQUIRED,SRC_CURATED_V1
BARBELL_BENCH_PRESS,BENCH,REQUIRED,SRC_CURATED_V1
BARBELL_BENCH_PRESS,POWER_RACK,REQUIRED,SRC_CURATED_V1
PAUSED_BARBELL_BENCH_PRESS,BARBELL,REQUIRED,SRC_CURATED_V1
PAUSED_BARBELL_BENCH_PRESS,BENCH,REQUIRED,SRC_CURATED_V1
PAUSED_BARBELL_BENCH_PRESS,POWER_RACK,REQUIRED,SRC_CURATED_V1
CLOSE_GRIP_BARBELL_BENCH_PRESS,BARBELL,REQUIRED,SRC_CURATED_V1
CLOSE_GRIP_BARBELL_BENCH_PRESS,BENCH,REQUIRED,SRC_CURATED_V1
CLOSE_GRIP_BARBELL_BENCH_PRESS,POWER_RACK,REQUIRED,SRC_CURATED_V1
WIDE_GRIP_BARBELL_BENCH_PRESS,BARBELL,REQUIRED,SRC_CURATED_V1
WIDE_GRIP_BARBELL_BENCH_PRESS,BENCH,REQUIRED,SRC_CURATED_V1
WIDE_GRIP_BARBELL_BENCH_PRESS,POWER_RACK,REQUIRED,SRC_CURATED_V1
INCLINE_BARBELL_BENCH_PRESS,BARBELL,REQUIRED,SRC_CURATED_V1
INCLINE_BARBELL_BENCH_PRESS,ADJUSTABLE_BENCH,REQUIRED,SRC_CURATED_V1
INCLINE_BARBELL_BENCH_PRESS,POWER_RACK,REQUIRED,SRC_CURATED_V1
DECLINE_BARBELL_BENCH_PRESS,BARBELL,REQUIRED,SRC_CURATED_V1
DECLINE_BARBELL_BENCH_PRESS,BENCH,REQUIRED,SRC_CURATED_V1
DECLINE_BARBELL_BENCH_PRESS,POWER_RACK,REQUIRED,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,DUMBBELL,REQUIRED,SRC_CURATED_V1
DUMBBELL_BENCH_PRESS,BENCH,REQUIRED,SRC_CURATED_V1
ALTERNATING_DUMBBELL_BENCH_PRESS,DUMBBELL,REQUIRED,SRC_CURATED_V1
ALTERNATING_DUMBBELL_BENCH_PRESS,BENCH,REQUIRED,SRC_CURATED_V1
