movement_pattern_id,name,movement_family,source_ids
HORIZONTAL_PUSH,Horizontal Push,,SRC_CURATED_V1
VERTICAL_PUSH,Vertical Push,,SRC_CURATED_V1
HORIZONTAL_PULL,Horizontal Pull,,SRC_CURATED_V1
VERTICAL_PULL,Vertical Pull,,SRC_CURATED_V1
SQUAT,Squat,,SRC_CURATED_V1
HIP_HINGE,Hip Hinge,,SRC_CURATED_V1
LUNGE,Lunge,,SRC_CURATED_V1
STEP,Step,,SRC_CURATED_V1
HIP_EXTENSION,Hip Extension,,SRC_CURATED_V1
HIP_ABDUCTION,Hip Abduction,,SRC_CURATED_V1
HIP_ADDUCTION,Hip Adduction,,SRC_CURATED_V1
KNEE_EXTENSION,Knee Extension,,SRC_CURATED_V1
KNEE_FLEXION,Knee Flexion,,SRC_CURATED_V1
PLANTAR_FLEXION,Plantar Flexion,,SRC_CURATED_V1
DORSIFLEXION,Dorsiflexion,,SRC_CURATED_V1
ELBOW_FLEXION,Elbow Flexion,,SRC_CURATED_V1
ELBOW_EXTENSION,Elbow Extension,,SRC_CURATED_V1
SHOULDER_ABDUCTION,Shoulder Abduction,,SRC_CURATED_V1
SHOULDER_FLEXION,Shoulder Flexion,,SRC_CURATED_V1
SHOULDER_EXTENSION,Shoulder Extension,,SRC_CURATED_V1
SHOULDER_EXTERNAL_ROTATION,Shoulder External Rotation,,SRC_CURATED_V1
SHOULDER_INTERNAL_ROTATION,Shoulder Internal Rotation,,SRC_CURATED_V1
SCAPULAR_RETRACTION,Scapular Retraction,,SRC_CURATED_V1
SCAPULAR_ELEVATION,Scapular Elevation,,SRC_CURATED_V1
SPINAL_FLEXION,Spinal Flexion,,SRC_CURATED_V1
SPINAL_EXTENSION,Spinal Extension,,SRC_CURATED_V1
TRUNK_ROTATION,Trunk Rotation,,SRC_CURATED_V1
LATERAL_FLEXION,Lateral Flexion,,SRC_CURATED_V1
ANTI_EXTENSION,Anti-Extension,,SRC_CURATED_V1
ANTI_ROTATION,Anti-Rotation,,SRC_CURATED_V1
ANTI_LATERAL_FLEXION,Anti-Lateral Flexion,,SRC_CURATED_V1
CARRY,Carry,,SRC_CURATED_V1
CRAWL,Crawl,,SRC_CURATED_V1
JUMP,Jump,,SRC_CURATED_V1
HOP,Hop,,SRC_CURATED_V1
BOUND,Bound,,SRC_CURATED_V1
THROW,Throw,,SRC_CURATED_V1
SPRINT,Sprint,,SRC_CURATED_V1
RUN,Run,,SRC_CURATED_V1
WALK,Walk,,SRC_CURATED_V1
CYCLE,Cycle,,SRC_CURATED_V1
ROW,Row,,SRC_CURATED_V1
SWIM,Swim,,SRC_CURATED_V1
CLIMB,Climb,,SRC_CURATED_V1
STRETCH,Stretch,,SRC_CURATED_V1
MOBILITY,Mobility,,SRC_CURATED_V1
SELF_MYOFASCIAL_RELEASE,Self-Myofascial Release,,SRC_CURATED_V1
BREATHING,Breathing,,SRC_CURATED_V1
