muscle_id,name,muscle_group,level,parent_id,source_ids
CHEST,Chest,Chest,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
PECTORALIS_MAJOR,Pectoralis Major,Chest,MUSCLE,CHEST,SRC_ACE_LIBRARY;SRC_CURATED_V1
PECTORALIS_MINOR,Pectoralis Minor,Chest,MUSCLE,CHEST,SRC_ACE_LIBRARY;SRC_CURATED_V1
SERRATUS_ANTERIOR,Serratus Anterior,Chest,MUSCLE,CHEST,SRC_ACE_LIBRARY;SRC_CURATED_V1
BACK,Back,Back,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
LATISSIMUS_DORSI,Latissimus Dorsi,Back,MUSCLE,BACK,SRC_ACE_LIBRARY;SRC_CURATED_V1
RHOMBOIDS,Rhomboids,Back,MUSCLE,BACK,SRC_ACE_LIBRARY;SRC_CURATED_V1
TRAPEZIUS,Trapezius,Back,MUSCLE,BACK,SRC_ACE_LIBRARY;SRC_CURATED_V1
ERECTOR_SPINAE,Erector Spinae,Back,MUSCLE,BACK,SRC_ACE_LIBRARY;SRC_CURATED_V1
TERES_MAJOR,Teres Major,Back,MUSCLE,BACK,SRC_ACE_LIBRARY;SRC_CURATED_V1
SHOULDERS,Shoulders,Shoulders,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ANTERIOR_DELTOID,Anterior Deltoid,Shoulders,MUSCLE,SHOULDERS,SRC_ACE_LIBRARY;SRC_CURATED_V1
LATERAL_DELTOID,Lateral Deltoid,Shoulders,MUSCLE,SHOULDERS,SRC_ACE_LIBRARY;SRC_CURATED_V1
POSTERIOR_DELTOID,Posterior Deltoid,Shoulders,MUSCLE,SHOULDERS,SRC_ACE_LIBRARY;SRC_CURATED_V1
ROTATOR_CUFF,Rotator Cuff,Shoulders,MUSCLE,SHOULDERS,SRC_ACE_LIBRARY;SRC_CURATED_V1
BICEPS,Biceps,Biceps,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
BICEPS_BRACHII,Biceps Brachii,Biceps,MUSCLE,BICEPS,SRC_ACE_LIBRARY;SRC_CURATED_V1
BRACHIALIS,Brachialis,Biceps,MUSCLE,BICEPS,SRC_ACE_LIBRARY;SRC_CURATED_V1
TRICEPS,Triceps,Triceps,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
TRICEPS_BRACHII,Triceps Brachii,Triceps,MUSCLE,TRICEPS,SRC_ACE_LIBRARY;SRC_CURATED_V1
FOREARMS,Forearms,Forearms,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
BRACHIORADIALIS,Brachioradialis,Forearms,MUSCLE,FOREARMS,SRC_ACE_LIBRARY;SRC_CURATED_V1
WRIST_FLEXORS,Wrist Flexors,Forearms,MUSCLE,FOREARMS,SRC_ACE_LIBRARY;SRC_CURATED_V1
WRIST_EXTENSORS,Wrist Extensors,Forearms,MUSCLE,FOREARMS,SRC_ACE_LIBRARY;SRC_CURATED_V1
FINGER_FLEXORS,Finger Flexors,Forearms,MUSCLE,FOREARMS,SRC_ACE_LIBRARY;SRC_CURATED_V1
QUADRICEPS,Quadriceps,Quadriceps,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
RECTUS_FEMORIS,Rectus Femoris,Quadriceps,MUSCLE,QUADRICEPS,SRC_ACE_LIBRARY;SRC_CURATED_V1
VASTUS_LATERALIS,Vastus Lateralis,Quadriceps,MUSCLE,QUADRICEPS,SRC_ACE_LIBRARY;SRC_CURATED_V1
VASTUS_MEDIALIS,Vastus Medialis,Quadriceps,MUSCLE,QUADRICEPS,SRC_ACE_LIBRARY;SRC_CURATED_V1
VASTUS_INTERMEDIUS,Vastus Intermedius,Quadriceps,MUSCLE,QUADRICEPS,SRC_ACE_LIBRARY;SRC_CURATED_V1
HAMSTRINGS,Hamstrings,Hamstrings,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
BICEPS_FEMORIS,Biceps Femoris,Hamstrings,MUSCLE,HAMSTRINGS,SRC_ACE_LIBRARY;SRC_CURATED_V1
SEMITENDINOSUS,Semitendinosus,Hamstrings,MUSCLE,HAMSTRINGS,SRC_ACE_LIBRARY;SRC_CURATED_V1
SEMIMEMBRANOSUS,Semimembranosus,Hamstrings,MUSCLE,HAMSTRINGS,SRC_ACE_LIBRARY;SRC_CURATED_V1
GLUTES,Glutes,Glutes,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
GLUTEUS_MAXIMUS,Gluteus Maximus,Glutes,MUSCLE,GLUTES,SRC_ACE_LIBRARY;SRC_CURATED_V1
GLUTEUS_MEDIUS,Gluteus Medius,Glutes,MUSCLE,GLUTES,SRC_ACE_LIBRARY;SRC_CURATED_V1
GLUTEUS_MINIMUS,Gluteus Minimus,Glutes,MUSCLE,GLUTES,SRC_ACE_LIBRARY;SRC_CURATED_V1
CALVES,Calves,Calves,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
GASTROCNEMIUS,Gastrocnemius,Calves,MUSCLE,CALVES,SRC_ACE_LIBRARY;SRC_CURATED_V1
SOLEUS,Soleus,Calves,MUSCLE,CALVES,SRC_ACE_LIBRARY;SRC_CURATED_V1
ADDUCTORS,Adductors,Adductors,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ADDUCTOR_MAGNUS,Adductor Magnus,Adductors,MUSCLE,ADDUCTORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
ADDUCTOR_LONGUS,Adductor Longus,Adductors,MUSCLE,ADDUCTORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
ADDUCTOR_BREVIS,Adductor Brevis,Adductors,MUSCLE,ADDUCTORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
GRACILIS,Gracilis,Adductors,MUSCLE,ADDUCTORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
ABDUCTORS,Abductors,Abductors,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
GLUTEUS_MEDIUS,Gluteus Medius,Abductors,MUSCLE,ABDUCTORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
GLUTEUS_MINIMUS,Gluteus Minimus,Abductors,MUSCLE,ABDUCTORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
TENSOR_FASCIAE_LATAE,Tensor Fasciae Latae,Abductors,MUSCLE,ABDUCTORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
CORE,Core,Core,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
RECTUS_ABDOMINIS,Rectus Abdominis,Core,MUSCLE,CORE,SRC_ACE_LIBRARY;SRC_CURATED_V1
EXTERNAL_OBLIQUE,External Oblique,Core,MUSCLE,CORE,SRC_ACE_LIBRARY;SRC_CURATED_V1
INTERNAL_OBLIQUE,Internal Oblique,Core,MUSCLE,CORE,SRC_ACE_LIBRARY;SRC_CURATED_V1
TRANSVERSUS_ABDOMINIS,Transversus Abdominis,Core,MUSCLE,CORE,SRC_ACE_LIBRARY;SRC_CURATED_V1
MULTIFIDUS,Multifidus,Core,MUSCLE,CORE,SRC_ACE_LIBRARY;SRC_CURATED_V1
LOWER_BACK,Lower Back,Lower Back,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ERECTOR_SPINAE,Erector Spinae,Lower Back,MUSCLE,LOWER_BACK,SRC_ACE_LIBRARY;SRC_CURATED_V1
MULTIFIDUS,Multifidus,Lower Back,MUSCLE,LOWER_BACK,SRC_ACE_LIBRARY;SRC_CURATED_V1
HIP_FLEXORS,Hip Flexors,Hip Flexors,GROUP,,SRC_ACE_LIBRARY;SRC_CURATED_V1
ILIOPSOAS,Iliopsoas,Hip Flexors,MUSCLE,HIP_FLEXORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
RECTUS_FEMORIS,Rectus Femoris,Hip Flexors,MUSCLE,HIP_FLEXORS,SRC_ACE_LIBRARY;SRC_CURATED_V1
