periodization_method_id,name,advanced_method,source_ids
NON_PERIODIZED,Non-Periodized,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
LINEAR_PERIODIZATION,Linear Periodization,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
REVERSE_LINEAR_PERIODIZATION,Reverse Linear Periodization,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
DAILY_UNDULATING_PERIODIZATION,Daily Undulating Periodization,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
WEEKLY_UNDULATING_PERIODIZATION,Weekly Undulating Periodization,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
BLOCK_PERIODIZATION,Block Periodization,1,SRC_ACSM_2026_RT;SRC_CURATED_V1
CONJUGATE_PERIODIZATION,Conjugate Periodization,1,SRC_ACSM_2026_RT;SRC_CURATED_V1
CONCURRENT_TRAINING,Concurrent Training,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
WAVE_PERIODIZATION,Wave Periodization,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
STEP_PERIODIZATION,Step Periodization,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
FLEXIBLE_PERIODIZATION,Flexible Periodization,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
AUTOREGULATED_PERIODIZATION,Autoregulated Periodization,1,SRC_ACSM_2026_RT;SRC_CURATED_V1
ACCUMULATION_INTENSIFICATION,Accumulation / Intensification,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
HYPERTROPHY_STRENGTH_POWER,Hypertrophy → Strength → Power,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
BASE_BUILD_PEAK,Base → Build → Peak,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
IN_SEASON_MAINTENANCE,In-Season Maintenance,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
OFF_SEASON_DEVELOPMENT,Off-Season Development,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
DELOAD_WEEK,Deload Week,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
TAPER,Taper,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
TRANSITION_RECOVERY_PHASE,Transition / Recovery Phase,0,SRC_ACSM_2026_RT;SRC_CURATED_V1
