training_method_id,method_group,name,advanced_method,ai_selectable,definition,source_ids
STRAIGHT_SETS,SET_STRUCTURE,Straight Sets,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
MULTIPLE_SETS,SET_STRUCTURE,Multiple Sets,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
SINGLE_SET,SET_STRUCTURE,Single Set,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
WARM_UP_SETS,SET_STRUCTURE,Warm-Up Sets,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
WORKING_SETS,SET_STRUCTURE,Working Sets,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
TOP_SET,SET_STRUCTURE,Top Set,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
BACK_OFF_SETS,SET_STRUCTURE,Back-Off Sets,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
SUPERSET,SET_STRUCTURE,Superset,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
ANTAGONIST_SUPERSET,SET_STRUCTURE,Antagonist Superset,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
AGONIST_SUPERSET,SET_STRUCTURE,Agonist Superset,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
COMPOUND_SET,SET_STRUCTURE,Compound Set,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
PRE_EXHAUST_SUPERSET,SET_STRUCTURE,Pre-Exhaust Superset,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
POST_EXHAUST_SUPERSET,SET_STRUCTURE,Post-Exhaust Superset,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
TRI_SET,SET_STRUCTURE,Tri-Set,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
GIANT_SET,SET_STRUCTURE,Giant Set,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
CLUSTER_SET,SET_STRUCTURE,Cluster Set,1,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
REST_PAUSE_SET,SET_STRUCTURE,Rest-Pause Set,1,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
MYO_REPS,SET_STRUCTURE,Myo-Reps,1,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
DROP_SET,INTENSITY_TECHNIQUE,Drop Set,1,1,,SRC_CURATED_V1
DOUBLE_DROP_SET,INTENSITY_TECHNIQUE,Double Drop Set,1,1,,SRC_CURATED_V1
TRIPLE_DROP_SET,INTENSITY_TECHNIQUE,Triple Drop Set,1,1,,SRC_CURATED_V1
MECHANICAL_DROP_SET,INTENSITY_TECHNIQUE,Mechanical Drop Set,1,1,,SRC_CURATED_V1
FORCED_REPS,INTENSITY_TECHNIQUE,Forced Reps,1,0,,SRC_CURATED_V1
PARTIAL_REPS,INTENSITY_TECHNIQUE,Partial Reps,0,1,,SRC_CURATED_V1
LENGTHENED_PARTIALS,INTENSITY_TECHNIQUE,Lengthened Partials,0,1,,SRC_CURATED_V1
CHEAT_REPS,INTENSITY_TECHNIQUE,Cheat Reps,1,0,,SRC_CURATED_V1
ECCENTRIC_FOCUSED_REPS,INTENSITY_TECHNIQUE,Eccentric-Focused Reps,0,1,,SRC_CURATED_V1
ISOMETRIC_HOLDS,INTENSITY_TECHNIQUE,Isometric Holds,0,1,,SRC_CURATED_V1
PAUSED_REPS,INTENSITY_TECHNIQUE,Paused Reps,0,1,,SRC_CURATED_V1
TEMPO_REPS,INTENSITY_TECHNIQUE,Tempo Reps,0,1,,SRC_CURATED_V1
1_5_REPS,INTENSITY_TECHNIQUE,1.5 Reps,0,1,,SRC_CURATED_V1
BURNOUT_SET,INTENSITY_TECHNIQUE,Burnout Set,0,1,,SRC_CURATED_V1
AMRAP_SET,INTENSITY_TECHNIQUE,AMRAP Set,0,1,,SRC_CURATED_V1
REP_GOAL_SET,INTENSITY_TECHNIQUE,Rep-Goal Set,0,1,,SRC_CURATED_V1
CONSTANT_LOAD,LOADING,Constant Load,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
ASCENDING_LOAD,LOADING,Ascending Load,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
DESCENDING_LOAD,LOADING,Descending Load,0,1,,SRC_WGER;SRC_ACSM_2026_RT;SRC_CURATED_V1
