training_style_id,name,category_tags,description,ai_selectable,source_ids
GENERAL_RESISTANCE_TRAINING,General Resistance Training,,,1,SRC_CURATED_V1
BODYBUILDING,Bodybuilding,,,1,SRC_CURATED_V1
POWERLIFTING,Powerlifting,,,1,SRC_CURATED_V1
OLYMPIC_WEIGHTLIFTING,Olympic Weightlifting,,,1,SRC_CURATED_V1
STRONGMAN,Strongman,,,1,SRC_CURATED_V1
STRENGTH_CONDITIONING,Strength & Conditioning,,,1,SRC_CURATED_V1
ATHLETIC_PERFORMANCE_TRAINING,Athletic Performance Training,,,1,SRC_CURATED_V1
CALISTHENICS,Calisthenics,,,1,SRC_CURATED_V1
STREET_WORKOUT,Street Workout,,,1,SRC_CURATED_V1
BODYWEIGHT_TRAINING,Bodyweight Training,,,1,SRC_CURATED_V1
GYMNASTICS_INSPIRED_STRENGTH,Gymnastics-Inspired Strength,,,1,SRC_CURATED_V1
KETTLEBELL_TRAINING,Kettlebell Training,,,1,SRC_CURATED_V1
DUMBBELL_ONLY_TRAINING,Dumbbell-Only Training,,,1,SRC_CURATED_V1
BARBELL_TRAINING,Barbell Training,,,1,SRC_CURATED_V1
MACHINE_TRAINING,Machine Training,,,1,SRC_CURATED_V1
CABLE_TRAINING,Cable Training,,,1,SRC_CURATED_V1
RESISTANCE_BAND_TRAINING,Resistance-Band Training,,,1,SRC_CURATED_V1
SUSPENSION_TRAINING,Suspension Training,,,1,SRC_CURATED_V1
LANDMINE_TRAINING,Landmine Training,,,1,SRC_CURATED_V1
SANDBAG_TRAINING,Sandbag Training,,,1,SRC_CURATED_V1
SLED_TRAINING,Sled Training,,,1,SRC_CURATED_V1
FUNCTIONAL_TRAINING,Functional Training,,,1,SRC_CURATED_V1
MIXED_MODAL_FUNCTIONAL_FITNESS,Mixed-Modal Functional Fitness,,,1,SRC_CURATED_V1
CIRCUIT_TRAINING,Circuit Training,,,1,SRC_CURATED_V1
BOOTCAMP_STYLE_TRAINING,Bootcamp-Style Training,,,1,SRC_CURATED_V1
HIGH_INTENSITY_INTERVAL_TRAINING,High-Intensity Interval Training,,,1,SRC_CURATED_V1
LOW_INTENSITY_STEADY_STATE_CARDIO,Low-Intensity Steady-State Cardio,,,1,SRC_CURATED_V1
ZONE_2_TRAINING,Zone 2 Training,,,1,SRC_CURATED_V1
TEMPO_THRESHOLD_TRAINING,Tempo / Threshold Training,,,1,SRC_CURATED_V1
SPRINT_INTERVAL_TRAINING,Sprint Interval Training,,,1,SRC_CURATED_V1
FARTLEK_TRAINING,Fartlek Training,,,1,SRC_CURATED_V1
RUNNING_TRAINING,Running Training,,,1,SRC_CURATED_V1
CYCLING_TRAINING,Cycling Training,,,1,SRC_CURATED_V1
ROWING_TRAINING,Rowing Training,,,1,SRC_CURATED_V1
SWIMMING_TRAINING,Swimming Training,,,1,SRC_CURATED_V1
JUMP_ROPE_TRAINING,Jump-Rope Training,,,1,SRC_CURATED_V1
MOBILITY_TRAINING,Mobility Training,,,1,SRC_CURATED_V1
YOGA_INSPIRED_MOBILITY,Yoga-Inspired Mobility,,,1,SRC_CURATED_V1
PILATES_INSPIRED_CORE_TRAINING,Pilates-Inspired Core Training,,,1,SRC_CURATED_V1
PLYOMETRIC_TRAINING,Plyometric Training,,,1,SRC_CURATED_V1
SPEED_TRAINING,Speed Training,,,1,SRC_CURATED_V1
AGILITY_TRAINING,Agility Training,,,1,SRC_CURATED_V1
BALANCE_TRAINING,Balance Training,,,1,SRC_CURATED_V1
CORE_STABILITY_TRAINING,Core Stability Training,,,1,SRC_CURATED_V1
POWER_TRAINING,Power Training,,,1,SRC_CURATED_V1
MOVEMENT_QUALITY_TRAINING,Movement Quality Training,,,1,SRC_CURATED_V1
RECOVERY_TRAINING,Recovery Training,,,1,SRC_CURATED_V1
SPORT_SPECIFIC_TRAINING,Sport-Specific Training,,,1,SRC_CURATED_V1
CONCURRENT_STRENGTH_ENDURANCE_TRAINING,Concurrent Strength + Endurance Training,,,1,SRC_CURATED_V1
HYBRID_STRENGTH_CONDITIONING,Hybrid Strength + Conditioning,,,1,SRC_CURATED_V1
