workout_format_id,name,time_based,advanced_format,source_ids
TRADITIONAL_SETS,Traditional Sets,0,0,SRC_CURATED_V1
CIRCUIT,Circuit,0,0,SRC_CURATED_V1
SUPERSET_WORKOUT,Superset Workout,0,0,SRC_CURATED_V1
TRI_SET_WORKOUT,Tri-Set Workout,0,0,SRC_CURATED_V1
GIANT_SET_WORKOUT,Giant-Set Workout,0,1,SRC_CURATED_V1
ROUNDS,Rounds,0,0,SRC_CURATED_V1
TIMED_CIRCUIT,Timed Circuit,1,0,SRC_CURATED_V1
INTERVALS,Intervals,1,0,SRC_WGER;SRC_CURATED_V1
AMRAP,AMRAP,1,0,SRC_WGER;SRC_CURATED_V1
EMOM,EMOM,1,0,SRC_WGER;SRC_CURATED_V1
EVERY_X_MINUTES,Every X Minutes,1,0,SRC_CURATED_V1
FOR_TIME,For Time,1,0,SRC_WGER;SRC_CURATED_V1
LADDER,Ladder,0,0,SRC_CURATED_V1
ASCENDING_LADDER,Ascending Ladder,0,0,SRC_CURATED_V1
DESCENDING_LADDER,Descending Ladder,0,0,SRC_CURATED_V1
PYRAMID_WORKOUT,Pyramid Workout,0,0,SRC_CURATED_V1
DENSITY_BLOCK,Density Block,0,0,SRC_CURATED_V1
STRENGTH_BLOCK,Strength Block,0,0,SRC_CURATED_V1
HYPERTROPHY_BLOCK,Hypertrophy Block,0,0,SRC_CURATED_V1
CONDITIONING_BLOCK,Conditioning Block,0,0,SRC_CURATED_V1
BARBELL_COMPLEX,Barbell Complex,0,1,SRC_CURATED_V1
KETTLEBELL_COMPLEX,Kettlebell Complex,0,1,SRC_CURATED_V1
DUMBBELL_COMPLEX,Dumbbell Complex,0,0,SRC_CURATED_V1
BODYWEIGHT_CIRCUIT,Bodyweight Circuit,0,0,SRC_CURATED_V1
CONTRAST_SESSION,Contrast Session,0,1,SRC_CURATED_V1
COMPLEX_TRAINING_SESSION,Complex Training Session,0,1,SRC_CURATED_V1
STATION_TRAINING,Station Training,0,0,SRC_CURATED_V1
PARTNER_ALTERNATING,Partner Alternating,0,0,SRC_CURATED_V1
CHALLENGE_WORKOUT,Challenge Workout,0,0,SRC_CURATED_V1
BENCHMARK_WORKOUT,Benchmark Workout,0,0,SRC_CURATED_V1
TEST_WORKOUT,Test Workout,0,0,SRC_CURATED_V1
SKILL_PRACTICE_SESSION,Skill Practice Session,0,0,SRC_CURATED_V1
ZONE_BASED_CARDIO_SESSION,Zone-Based Cardio Session,1,0,SRC_CURATED_V1
TEMPO_SESSION,Tempo Session,1,0,SRC_CURATED_V1
LONG_STEADY_SESSION,Long Steady Session,1,0,SRC_CURATED_V1
RECOVERY_SESSION,Recovery Session,0,0,SRC_CURATED_V1
