workout_type_id,name,type_dimension,source_ids
FULL_BODY,Full Body,BODY_REGION,SRC_CURATED_V1
UPPER_BODY,Upper Body,BODY_REGION,SRC_CURATED_V1
LOWER_BODY,Lower Body,BODY_REGION,SRC_CURATED_V1
PUSH,Push,BODY_REGION,SRC_CURATED_V1
PULL,Pull,BODY_REGION,SRC_CURATED_V1
LEGS,Legs,BODY_REGION,SRC_CURATED_V1
CHEST,Chest,BODY_REGION,SRC_CURATED_V1
BACK,Back,BODY_REGION,SRC_CURATED_V1
SHOULDERS,Shoulders,BODY_REGION,SRC_CURATED_V1
ARMS,Arms,BODY_REGION,SRC_CURATED_V1
BICEPS,Biceps,BODY_REGION,SRC_CURATED_V1
TRICEPS,Triceps,BODY_REGION,SRC_CURATED_V1
QUADRICEPS,Quadriceps,BODY_REGION,SRC_CURATED_V1
HAMSTRINGS,Hamstrings,BODY_REGION,SRC_CURATED_V1
GLUTES,Glutes,BODY_REGION,SRC_CURATED_V1
CALVES,Calves,BODY_REGION,SRC_CURATED_V1
CORE,Core,BODY_REGION,SRC_CURATED_V1
CHEST_BACK,Chest + Back,BODY_REGION,SRC_CURATED_V1
CHEST_TRICEPS,Chest + Triceps,BODY_REGION,SRC_CURATED_V1
BACK_BICEPS,Back + Biceps,BODY_REGION,SRC_CURATED_V1
SHOULDERS_ARMS,Shoulders + Arms,BODY_REGION,SRC_CURATED_V1
LEGS_CORE,Legs + Core,BODY_REGION,SRC_CURATED_V1
UPPER_PUSH,Upper Push,BODY_REGION,SRC_CURATED_V1
UPPER_PULL,Upper Pull,BODY_REGION,SRC_CURATED_V1
POSTERIOR_CHAIN,Posterior Chain,BODY_REGION,SRC_CURATED_V1
ANTERIOR_CHAIN,Anterior Chain,BODY_REGION,SRC_CURATED_V1
STRENGTH,Strength,GOAL_OR_SESSION,SRC_CURATED_V1
HYPERTROPHY,Hypertrophy,GOAL_OR_SESSION,SRC_CURATED_V1
POWER,Power,GOAL_OR_SESSION,SRC_CURATED_V1
MUSCULAR_ENDURANCE,Muscular Endurance,GOAL_OR_SESSION,SRC_CURATED_V1
CONDITIONING,Conditioning,GOAL_OR_SESSION,SRC_CURATED_V1
CARDIO,Cardio,GOAL_OR_SESSION,SRC_CURATED_V1
ZONE_2_CARDIO,Zone 2 Cardio,GOAL_OR_SESSION,SRC_CURATED_V1
HIIT,HIIT,GOAL_OR_SESSION,SRC_CURATED_V1
MOBILITY,Mobility,GOAL_OR_SESSION,SRC_CURATED_V1
FLEXIBILITY,Flexibility,GOAL_OR_SESSION,SRC_CURATED_V1
RECOVERY,Recovery,GOAL_OR_SESSION,SRC_CURATED_V1
TECHNIQUE,Technique,GOAL_OR_SESSION,SRC_CURATED_V1
OLYMPIC_LIFTING_TECHNIQUE,Olympic-Lifting Technique,GOAL_OR_SESSION,SRC_CURATED_V1
POWERLIFTING_TECHNIQUE,Powerlifting Technique,GOAL_OR_SESSION,SRC_CURATED_V1
PLYOMETRIC,Plyometric,GOAL_OR_SESSION,SRC_CURATED_V1
SPEED,Speed,GOAL_OR_SESSION,SRC_CURATED_V1
AGILITY,Agility,GOAL_OR_SESSION,SRC_CURATED_V1
BALANCE,Balance,GOAL_OR_SESSION,SRC_CURATED_V1
SPORT_PERFORMANCE,Sport Performance,GOAL_OR_SESSION,SRC_CURATED_V1
BASKETBALL_PERFORMANCE,Basketball Performance,GOAL_OR_SESSION,SRC_CURATED_V1
RUNNING_PERFORMANCE,Running Performance,GOAL_OR_SESSION,SRC_CURATED_V1
CYCLING_PERFORMANCE,Cycling Performance,GOAL_OR_SESSION,SRC_CURATED_V1
SWIMMING_PERFORMANCE,Swimming Performance,GOAL_OR_SESSION,SRC_CURATED_V1
MIXED_STRENGTH_CONDITIONING,Mixed Strength + Conditioning,GOAL_OR_SESSION,SRC_CURATED_V1
ASSESSMENT,Assessment,GOAL_OR_SESSION,SRC_CURATED_V1
